Scottsdale,Arizona,94859 Brickson Park Drive,85271,
Houston,Texas,45359 Jana Point,77201,#0e0ef6
Pensacola,Florida,6 Welch Lane,32520,#fccf19
Kansas City,Kansas,0083 Grayhawk Junction,66160,#243b85
Dayton,Ohio,8683 Lyons Parkway,45454,#396283
New Orleans,Louisiana,491 Oriole Crossing,70183,#affce8
Syracuse,New York,87747 Eastlawn Road,13210,#04e4d4
Jackson,Mississippi,94742 Nevada Crossing,39216,#5aa2c3
Jacksonville,Florida,767 Barby Pass,32277,
Los Angeles,California,5 Sachs Pass,90060,
Rochester,New York,319 Holy Cross Park,14683,#05cffd
Cedar Rapids,Iowa,17536 Fulton Park,52410,#a65c06
Young America,Minnesota,6684 Kedzie Center,55551,
Arlington,Virginia,75929 New Castle Alley,22234,#b08e1d
Philadelphia,Pennsylvania,3112 Corscot Street,19136,#afb977
New York City,New York,31040 Lakewood Gardens Parkway,10090,
Houston,Texas,036 Stoughton Pass,77245,#873b3a
Pittsburgh,Pennsylvania,39 Transport Junction,15255,#d0ad8b
Denver,Colorado,86 Pond Crossing,80217,#16db29
El Paso,Texas,7918 Briar Crest Junction,88569,#7f0434
